2026-03-29 18:56:16,514 | INFO | backup | Backup started user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826
2026-03-29 18:56:18,797 | INFO | backup | Backup connecting database user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 database=mydb
2026-03-29 18:56:21,353 | INFO | backup | Backup completed user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 backup_id=69c9287d4af048ae4731 status=success file=mysql_mydb_20260329_132618.sql.gz size=1561
2026-03-29 19:11:38,091 | INFO | backup | Backup started user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826
2026-03-29 19:11:41,818 | INFO | backup | Backup connecting database user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 database=mydb
2026-03-29 19:11:42,477 | INFO | backup | Backup completed user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 backup_id=69c92c1665e66f761887 status=failed file=mysql_mydb_20260329_134141.sql.gz size=1560
2026-03-29 19:23:31,677 | INFO | backup | Backup started user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826
2026-03-29 19:23:35,427 | INFO | backup | Backup connecting database user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 database=mydb
2026-03-29 19:23:35,513 | INFO | backup | Backup file encrypted successfully user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 file=mysql_mydb_20260329_135335.sql.gz.enc
2026-03-29 19:23:37,153 | INFO | backup | Backup completed user_id=69c01516df31230a0ffc db_config_id=69c02c16ea00af41f826 backup_id=69c92ee112776dc4bcd4 status=success file=mysql_mydb_20260329_135335.sql.gz.enc size=1589
2026-03-31 19:09:03,325 | INFO | scheduler | Scheduler started
2026-03-31 19:10:10,503 | INFO | scheduler | Scheduler started
2026-03-31 19:10:12,224 | WARNING | scheduler | Skipping schedule bootstrap due to schema/query issue: Invalid query: Query value is invalid for attribute "enabled"
2026-03-31 19:11:57,619 | INFO | scheduler | Scheduler stopped
2026-03-31 19:12:33,638 | INFO | scheduler | Scheduler started
2026-03-31 19:12:41,180 | INFO | scheduler | Scheduler stopped
2026-03-31 19:12:42,795 | INFO | scheduler | Scheduler started
2026-03-31 19:27:25,023 | INFO | scheduler | Scheduler stopped
2026-03-31 19:27:26,345 | INFO | scheduler | Scheduler started
2026-03-31 19:27:55,421 | INFO | scheduler | Scheduler stopped
2026-03-31 19:27:56,509 | INFO | scheduler | Scheduler started
2026-03-31 19:27:56,977 | INFO | scheduler | Scheduler stopped
2026-03-31 19:27:58,309 | INFO | scheduler | Scheduler started
2026-03-31 19:28:12,508 | INFO | scheduler | Scheduler stopped
2026-03-31 19:28:14,480 | INFO | scheduler | Scheduler started
2026-03-31 19:32:42,162 | INFO | scheduler | Scheduler stopped
2026-03-31 19:32:43,446 | INFO | scheduler | Scheduler started
2026-03-31 19:32:43,922 | WARNING | scheduler | Invalid timezone '2026-03-31T13:59:31.989+00:00', falling back to UTC
2026-03-31 19:32:43,925 | INFO | scheduler | Scheduled job 69cbd343f1650132d9a3 with cron=cron[month='*', day='*', day_of_week='*', hour='19', minute='30']
2026-03-31 19:33:42,345 | WARNING | scheduler | Invalid timezone '2026-03-31T14:03:43.546+00:00', falling back to UTC
